time,open,high,low,close,tick_volume
2024-03-13 08:00:00,2159.37,2161.56,2157.93,2158.28,15646
2024-03-13 12:00:00,2158.23,2166.35,2157.55,2163.6,20987
2024-03-13 16:00:00,2163.6,2174.73,2161.49,2173.67,37264
2024-03-13 20:00:00,2173.68,2179.91,2171.77,2174.32,17262
2024-03-14 00:00:00,2174.48,2176.61,2173.83,2176.31,5478
2024-03-14 04:00:00,2176.35,2177.0,2171.06,2171.78,11571
2024-03-14 08:00:00,2171.78,2171.98,2167.47,2169.62,16291
2024-03-14 12:00:00,2169.62,2172.04,2160.48,2162.82,22710
2024-03-14 16:00:00,2162.79,2167.29,2152.8,2158.72,41660
2024-03-14 20:00:00,2158.72,2165.06,2158.14,2162.19,13190
2024-03-15 00:00:00,2161.9,2163.15,2160.64,2162.77,4494
2024-03-15 04:00:00,2162.77,2166.0,2161.64,2164.51,10687
2024-03-15 08:00:00,2164.53,2170.1,2163.6,2169.09,18269
2024-03-15 12:00:00,2169.09,2172.73,2157.64,2161.86,21114
2024-03-15 16:00:00,2161.86,2166.7,2156.58,2158.85,36858
2024-03-15 20:00:00,2158.85,2160.62,2155.21,2155.82,12508
2024-03-18 00:00:00,2155.34,2157.55,2151.88,2156.66,8277
2024-03-18 04:00:00,2156.64,2156.67,2146.16,2147.4,14722
2024-03-18 08:00:00,2147.4,2154.48,2146.18,2153.57,15777
2024-03-18 12:00:00,2153.57,2163.64,2153.41,2159.13,22664
2024-03-18 16:00:00,2159.13,2161.34,2154.63,2159.99,29247
2024-03-18 20:00:00,2159.99,2161.21,2158.1,2160.26,10012
2024-03-19 00:00:00,2160.12,2162.86,2160.04,2160.67,5134
2024-03-19 04:00:00,2160.67,2162.84,2158.59,2160.29,14210
2024-03-19 08:00:00,2160.29,2160.5,2147.19,2153.11,21492
2024-03-19 12:00:00,2153.12,2158.69,2150.88,2156.97,23227
2024-03-19 16:00:00,2156.96,2158.69,2148.42,2154.54,30469
2024-03-19 20:00:00,2154.54,2158.52,2154.36,2157.48,11838
2024-03-20 00:00:00,2157.8,2159.7,2155.26,2157.2,4262
2024-03-20 04:00:00,2157.22,2160.25,2156.67,2156.93,9716
2024-03-20 08:00:00,2156.93,2159.53,2154.57,2156.19,12527
2024-03-20 12:00:00,2156.19,2156.19,2149.63,2153.19,17908
2024-03-20 16:00:00,2153.19,2164.92,2150.53,2157.73,30910
2024-03-20 20:00:00,2157.73,2188.84,2156.68,2186.24,40637
2024-03-21 00:00:00,2186.76,2223.08,2186.6,2199.03,21980
2024-03-21 04:00:00,2199.03,2212.5,2198.02,2203.31,20879
2024-03-21 08:00:00,2203.31,2210.24,2196.89,2201.56,24558
2024-03-21 12:00:00,2201.57,2211.79,2199.96,2207.74,30592
2024-03-21 16:00:00,2207.74,2208.13,2166.47,2179.98,47877
2024-03-21 20:00:00,2179.98,2184.06,2178.62,2181.25,14210
2024-03-22 00:00:00,2181.5,2186.13,2180.93,2185.03,5207
2024-03-22 04:00:00,2185.03,2185.94,2171.84,2173.64,19830
